id,key,value,type
65293907,direction,forward,regular
65293907,highway,stop,regular
65293907,source,USGS Large Scale Imagery,regular
65293933,highway,traffic_signals,regular
65294163,highway,traffic_signals,regular
65294171,highway,traffic_signals,regular
65294202,highway,traffic_signals,regular
65294216,highway,traffic_signals,regular
65294235,highway,traffic_signals,regular
65294258,highway,traffic_signals,regular
65294275,highway,traffic_signals,regular
65294280,highway,traffic_signals,regular
65294289,highway,traffic_signals,regular
65294604,highway,traffic_signals,regular
65294608,highway,stop,regular
65294618,highway,stop,regular
65295275,highway,traffic_signals,regular
65295278,highway,traffic_signals,regular
65295278,source,data.sfgov.org,regular
65295279,highway,traffic_signals,regular
65295279,source,data.sfgov.org,regular
65295281,highway,traffic_signals,regular
65295281,source,data.sfgov.org,regular
65295287,highway,traffic_signals,regular
65295289,highway,traffic_signals,regular
65295293,highway,traffic_signals,regular
65295299,highway,traffic_signals,regular
65295311,highway,traffic_signals,regular
65295314,highway,traffic_signals,regular
65295324,highway,traffic_signals,regular
65295328,highway,traffic_signals,regular
65295328,turn_restrictions,no,regular
65295332,highway,traffic_signals,regular
65295332,turn_restrictions,no,regular
65295336,highway,traffic_signals,regular
65295336,source,data.sfgov.org,regular
65295337,highway,traffic_signals,regular
65295337,source,data.sfgov.org,regular
65295340,highway,traffic_signals,regular
65295342,highway,traffic_signals,regular
65295345,highway,traffic_signals,regular
65295345,turn_restrictions,no,regular
65295347,highway,traffic_signals,regular
65295349,highway,traffic_signals,regular
65295352,highway,traffic_signals,regular
65295355,highway,traffic_signals,regular
65295361,highway,traffic_signals,regular
65295364,highway,traffic_signals,regular
65295367,highway,traffic_signals,regular
65295369,highway,traffic_signals,regular
65295371,crossing,traffic_signals,regular
65295371,highway,crossing,regular
65295375,highway,traffic_signals,regular
65295377,highway,traffic_signals,regular
65295377,source,data.sfgov.org,regular
65295379,highway,traffic_signals,regular
65295379,source,data.sfgov.org,regular
65295383,highway,traffic_signals,regular
65295383,source,data.sfgov.org,regular
65295385,highway,traffic_signals,regular
65295385,source,data.sfgov.org,regular
65295388,highway,traffic_signals,regular
65295388,source,data.sfgov.org,regular
65295392,highway,traffic_signals,regular
65295392,source,data.sfgov.org,regular
65295399,highway,traffic_signals,regular
65295399,source,data.sfgov.org,regular
65295403,highway,traffic_signals,regular
65295403,source,data.sfgov.org,regular
65295411,highway,traffic_signals,regular
65295411,source,data.sfgov.org,regular
65295420,highway,traffic_signals,regular
65295420,source,data.sfgov.org,regular
65295434,highway,traffic_signals,regular
65295435,highway,traffic_signals,regular
65295435,source,data.sfgov.org,regular
65296214,highway,traffic_signals,regular
65296214,traffic_signals:sound,yes,regular
65296309,highway,traffic_signals,regular
65296310,highway,traffic_signals,regular
65296314,highway,traffic_signals,regular
65296324,highway,traffic_signals,regular
65296327,highway,traffic_signals,regular
65296808,highway,traffic_signals,regular
65296808,turn_restrictions,no,regular
65296822,highway,traffic_signals,regular
65296833,highway,traffic_signals,regular
65296839,highway,traffic_signals,regular
65296852,highway,traffic_signals,regular
65297159,noexit,yes,regular
65297350,crossing,uncontrolled,regular
65297350,highway,crossing,regular
65297585,highway,traffic_signals,regular
65297954,turn_restrictions,no,regular
65298329,turn_restrictions,no,regular
65298333,turn_restrictions,no,regular
65298349,turn_restrictions,no,regular
65298353,turn_restrictions,no,regular
65298355,turn_restrictions,no,regular
65298359,turn_restrictions,no,regular
65298367,turn_restrictions,no,regular
65298370,turn_restrictions,no,regular
65298373,turn_restrictions,no,regular
65298376,highway,traffic_signals,regular
65298376,turn_restrictions,no,regular
65298378,turn_restrictions,no,regular
65299058,turn_restrictions,no,regular
65299217,highway,traffic_signals,regular
65299296,highway,stop,regular
65299327,highway,traffic_signals,regular
65299375,highway,turning_circle,regular
65299391,highway,traffic_signals,regular
65299397,turn_restrictions,no,regular
65299400,highway,traffic_signals,regular
65299405,highway,traffic_signals,regular
65299405,turn_restrictions,no,regular
65300043,highway,traffic_signals,regular
65300049,highway,traffic_signals,regular
65300052,highway,traffic_signals,regular
65300069,highway,traffic_signals,regular
65300073,highway,traffic_signals,regular
65300073,source,Yahoo,regular
65300078,highway,traffic_signals,regular
65300085,highway,traffic_signals,regular
65300091,crossing,traffic_signals,regular
65300091,highway,crossing,regular
65300097,highway,traffic_signals,regular
65300107,highway,traffic_signals,regular
65301353,crossing,unmarked,regular
65301353,highway,crossing,regular
65301514,highway,traffic_signals,regular
65301514,turn_restrictions,no,regular
65301517,highway,traffic_signals,regular
65301517,turn_restrictions,no,regular
65301531,highway,traffic_signals,regular
65301545,highway,traffic_signals,regular
65301549,highway,traffic_signals,regular
65301554,highway,traffic_signals,regular
65301554,turn_restrictions,no,regular
65301591,highway,stop,regular
65301595,highway,traffic_signals,regular
65301599,highway,stop,regular
65301599,source,USGS Large Scale Imagery,regular
65301599,stop,all,regular
65301601,highway,stop,regular
65301601,source,USGS Large Scale Imagery,regular
65301601,stop,all,regular
65302139,highway,traffic_signals,regular
65302176,highway,traffic_signals,regular
65302176,source,data.sfgov.org,regular
65302182,highway,traffic_signals,regular
65302182,source,data.sfgov.org,regular
65302189,highway,traffic_signals,regular
65302189,source,data.sfgov.org,regular
65302199,highway,traffic_signals,regular
65302203,highway,traffic_signals,regular
65302699,highway,traffic_signals,regular
65302755,highway,traffic_signals,regular
65302772,highway,traffic_signals,regular
65302778,highway,stop,regular
65303154,turn_restrictions,no,regular
65303162,highway,stop,regular
65303162,stop,all,regular
65303488,highway,traffic_signals,regular
65303488,turn_restrictions,no,regular
65303495,highway,traffic_signals,regular
65303495,turn_restrictions,no,regular
65303500,highway,traffic_signals,regular
65303500,turn_restrictions,no,regular
65303525,highway,traffic_signals,regular
65303529,highway,traffic_signals,regular
65303529,source,survey,regular
65303529,traffic_signals:sound,yes,regular
65303533,highway,traffic_signals,regular
65303533,source,survey,regular
65303533,traffic_signals:sound,yes,regular
65303538,highway,traffic_signals,regular
65303538,source,survey,regular
65303541,highway,traffic_signals,regular
65303541,source,survey,regular
65303544,highway,traffic_signals,regular
65303544,source,survey,regular
65303546,highway,traffic_signals,regular
65303546,source,survey,regular
65303548,highway,traffic_signals,regular
65303550,highway,traffic_signals,regular
65303550,source,survey,regular
65303550,turn_restrictions,no,regular
65303552,highway,traffic_signals,regular
65303552,turn_restrictions,no,regular
65303553,highway,traffic_signals,regular
65303554,highway,traffic_signals,regular
65303556,highway,traffic_signals,regular
65303556,turn_restrictions,no,regular
65303559,highway,traffic_signals,regular
65303560,highway,traffic_signals,regular
65303560,turn_restrictions,no,regular
65303561,highway,traffic_signals,regular
65303566,highway,traffic_signals,regular
65303568,highway,traffic_signals,regular
65303573,highway,traffic_signals,regular
65303581,highway,traffic_signals,regular
65303689,highway,traffic_signals,regular
65303696,highway,traffic_signals,regular
65303704,highway,traffic_signals,regular
65303706,highway,traffic_signals,regular
65303713,highway,traffic_signals,regular
65303719,highway,traffic_signals,regular
65303721,highway,traffic_signals,regular
65303732,highway,traffic_signals,regular
65303747,highway,traffic_signals,regular
65303897,highway,traffic_signals,regular
65304050,highway,turning_circle,regular
65304062,highway,traffic_signals,regular
65304253,highway,traffic_signals,regular
65304270,highway,traffic_signals,regular
65304799,highway,traffic_signals,regular
65304837,crossing,uncontrolled,regular
65304837,highway,crossing,regular
65304994,highway,traffic_signals,regular
65304997,highway,stop,regular
65305814,highway,traffic_signals,regular
65305814,source,survey,regular
65305815,highway,traffic_signals,regular
65305815,source,survey,regular
65305815,traffic_signals:sound,yes,regular
65305817,highway,traffic_signals,regular
65305817,source,survey,regular
65305817,traffic_signals:sound,yes,regular
65305817,turn_restrictions,no,regular
65305819,highway,traffic_signals,regular
65305819,traffic_signals:sound,yes,regular
65305827,highway,traffic_signals,regular
65305832,highway,traffic_signals,regular
65305832,traffic_signals:sound,yes,regular
65305835,highway,traffic_signals,regular
65305835,traffic_signals:sound,yes,regular
65305842,highway,traffic_signals,regular
65305842,traffic_signals:sound,yes,regular
65305848,highway,traffic_signals,regular
65305894,highway,stop,regular
65306275,highway,crossing,regular
65306785,highway,traffic_signals,regular
65306785,turn_restrictions,no,regular
65306787,highway,traffic_signals,regular
65306789,highway,traffic_signals,regular
65306789,turn_restrictions,no,regular
65306793,highway,traffic_signals,regular
65306793,turn_restrictions,no,regular
65306795,highway,traffic_signals,regular
65306795,turn_restrictions,no,regular
65306797,highway,traffic_signals,regular
65306797,traffic_signals:sound,yes,regular
65306797,turn_restrictions,no,regular
65306800,highway,traffic_signals,regular
65306802,highway,traffic_signals,regular
65306804,highway,traffic_signals,regular
65306810,highway,traffic_signals,regular
65306810,source,Bing,regular
65306827,highway,traffic_signals,regular
65306829,highway,traffic_signals,regular
65306838,highway,traffic_signals,regular
65306840,highway,traffic_signals,regular
65306847,highway,traffic_signals,regular
65307324,highway,stop,regular
65307349,highway,traffic_signals,regular
65307352,highway,traffic_signals,regular
65307354,highway,traffic_signals,regular
65307356,highway,traffic_signals,regular
65307356,source,data.sfgov.org,regular
65307359,highway,traffic_signals,regular
65307359,source,data.sfgov.org,regular
65307363,highway,traffic_signals,regular
65307366,highway,traffic_signals,regular
65307376,highway,traffic_signals,regular
65307381,highway,traffic_signals,regular
65307408,highway,traffic_signals,regular
65307414,highway,traffic_signals,regular
65307414,turn_restrictions,no,regular
65307417,highway,traffic_signals,regular
65307419,highway,traffic_signals,regular
65307419,turn_restrictions,no,regular
65307423,highway,traffic_signals,regular
65307440,highway,traffic_signals,regular
65307463,highway,traffic_signals,regular
65307463,source,data.sfgov.org,regular
65307609,highway,traffic_signals,regular
65307920,highway,turning_circle,regular
65308157,barrier,gate,regular
65308264,highway,traffic_signals,regular
65308264,turn_restrictions,no,regular
65308268,highway,traffic_signals,regular
65308268,turn_restrictions,no,regular
65308283,turn_restrictions,no,regular
65308287,highway,traffic_signals,regular
65308287,turn_restrictions,no,regular
65308289,highway,traffic_signals,regular
65308291,highway,traffic_signals,regular
65308298,highway,traffic_signals,regular
65308300,highway,traffic_signals,regular
65308302,highway,traffic_signals,regular
65308304,highway,traffic_signals,regular
65308306,highway,traffic_signals,regular
65308310,highway,traffic_signals,regular
65308325,highway,traffic_signals,regular
65308334,highway,traffic_signals,regular
65308413,highway,traffic_signals,regular
65308413,turn_restrictions,no,regular
65308456,highway,traffic_signals,regular
65308456,turn_restrictions,no,regular
65308458,crossing,traffic_signals,regular
65308458,highway,crossing,regular
65308483,highway,traffic_signals,regular
65308495,highway,traffic_signals,regular
65308500,highway,stop,regular
65308503,highway,stop,regular
65308506,highway,stop,regular
65308708,highway,traffic_signals,regular
65308721,highway,traffic_signals,regular
65308730,highway,traffic_signals,regular
65308735,highway,traffic_signals,regular
65308756,highway,traffic_signals,regular
65308756,source,Yahoo,regular
65308764,highway,traffic_signals,regular
65308764,traffic_signals,signal,regular
65308767,highway,traffic_signals,regular
65308770,highway,traffic_signals,regular
65308770,source,Yahoo,regular
65309307,crossing,zebra,regular
65309307,highway,crossing,regular
65309312,barrier,bollard,regular
65309522,highway,traffic_signals,regular
65309522,turn_restrictions,no,regular
65309787,highway,traffic_signals,regular
65309792,crossing,uncontrolled,regular
65309792,highway,crossing,regular
65309795,crossing,uncontrolled,regular
65309795,highway,crossing,regular
65309810,highway,traffic_signals,regular
65309810,traffic_signals:sound,yes,regular
65309820,highway,traffic_signals,regular
65309828,highway,traffic_signals,regular
65309842,highway,traffic_signals,regular
65310039,highway,turning_circle,regular
65310394,highway,traffic_signals,regular
65310394,turn_restrictions,no,regular
65310403,highway,traffic_signals,regular
65310415,crossing,traffic_signals,regular
65310415,highway,crossing,regular
65310440,crossing,unmarked,regular
65310440,highway,crossing,regular
65310440,tactile_paving,yes,regular
65310455,highway,traffic_signals,regular
65310795,turn_restrictions,no,regular
65310799,highway,traffic_signals,regular
65310799,turn_restrictions,no,regular
65310802,highway,traffic_signals,regular
65310802,turn_restrictions,no,regular
65310806,highway,traffic_signals,regular
65310806,turn_restrictions,no,regular
65310809,highway,traffic_signals,regular
65310809,turn_restrictions,no,regular
65310815,highway,traffic_signals,regular
65310815,turn_restrictions,no,regular
65310817,highway,traffic_signals,regular
65310817,turn_restrictions,no,regular
65310820,highway,traffic_signals,regular
65310820,turn_restrictions,no,regular
65310823,highway,traffic_signals,regular
65310823,turn_restrictions,no,regular
65310824,highway,traffic_signals,regular
65310824,turn_restrictions,no,regular
65310826,highway,traffic_signals,regular
65310826,turn_restrictions,no,regular
65310828,highway,traffic_signals,regular
65310828,turn_restrictions,no,regular
65310830,highway,traffic_signals,regular
65310832,highway,traffic_signals,regular
65310832,turn_restrictions,no,regular
65310835,highway,traffic_signals,regular
65310835,turn_restrictions,no,regular
65310837,highway,traffic_signals,regular
65310837,turn_restrictions,no,regular
65310841,crossing,uncontrolled,regular
65310841,highway,crossing,regular
65310854,crossing,uncontrolled,regular
65310854,highway,crossing,regular
65312117,highway,traffic_signals,regular
65312204,highway,traffic_signals,regular
65312206,highway,traffic_signals,regular
65312208,highway,traffic_signals,regular
65312662,highway,traffic_signals,regular
65312677,highway,traffic_signals,regular
65312687,highway,traffic_signals,regular
65312687,turn_restrictions,no,regular
65312690,highway,traffic_signals,regular
65312693,highway,traffic_signals,regular
65312693,turn_restrictions,no,regular
65312695,highway,traffic_signals,regular
65312706,highway,traffic_signals,regular
65312708,highway,stop,regular
65312716,highway,stop,regular
65313133,highway,traffic_signals,regular
65313138,highway,traffic_signals,regular
65313150,highway,turning_circle,regular
65313357,highway,traffic_signals,regular
65313357,turn_restrictions,no,regular
65314146,highway,traffic_signals,regular
65314146,source,survey,regular
65314156,highway,traffic_signals,regular
65314156,source,survey,regular
65314158,highway,traffic_signals,regular
65314158,source,survey,regular
65314161,highway,traffic_signals,regular
65314161,source,survey,regular
65314161,turn_restrictions,no,regular
65314163,highway,traffic_signals,regular
65314163,turn_restrictions,no,regular
65314166,highway,traffic_signals,regular
65314171,highway,traffic_signals,regular
65314173,highway,traffic_signals,regular
65314173,turn_restrictions,no,regular
65314175,highway,traffic_signals,regular
65314180,highway,traffic_signals,regular
65314180,turn_restrictions,no,regular
65314183,highway,traffic_signals,regular
65314187,highway,traffic_signals,regular
65314189,highway,traffic_signals,regular
65314192,highway,traffic_signals,regular
65314195,highway,traffic_signals,regular
65314200,highway,traffic_signals,regular
65314202,highway,traffic_signals,regular
65314207,highway,traffic_signals,regular
65314340,highway,traffic_signals,regular
65314348,highway,traffic_signals,regular
65314360,highway,traffic_signals,regular
65314370,highway,stop,regular
65314554,highway,traffic_signals,regular
65314556,highway,traffic_signals,regular
65314567,highway,traffic_signals,regular
65314567,source,local_knowledge,regular
65314594,amenity,parking_entrance,regular
65315412,highway,traffic_signals,regular
65315415,highway,traffic_signals,regular
65315446,highway,traffic_signals,regular
65315446,source,data.sfgov.org,regular
65315466,highway,traffic_signals,regular
65315466,turn_restrictions,no,regular
65315477,highway,traffic_signals,regular
65315477,traffic_signals:sound,yes,regular
65315481,highway,traffic_signals,regular
65315504,highway,traffic_signals,regular
65315506,highway,traffic_signals,regular
65315668,crossing,zebra,regular
65315668,highway,crossing,regular
65315670,highway,stop,regular
65315781,highway,traffic_signals,regular
65315781,source,data.sfgov.org,regular
65315790,highway,traffic_signals,regular
65315796,crossing,traffic_signals,regular
65315796,highway,crossing,regular
65315830,highway,traffic_signals,regular
65315836,highway,traffic_signals,regular
65316464,turn_restrictions,no,regular
65316470,turn_restrictions,no,regular
65317030,highway,traffic_signals,regular
65317037,turn_restrictions,no,regular
65317040,turn_restrictions,no,regular
65317042,highway,traffic_signals,regular
65317042,traffic_signals:sound,yes,regular
65317042,turn_restrictions,no,regular
65317043,turn_restrictions,no,regular
65317045,highway,traffic_signals,regular
65317045,traffic_signals:sound,yes,regular
65317048,turn_restrictions,no,regular
65317050,turn_restrictions,no,regular
65317051,turn_restrictions,no,regular
65317054,turn_restrictions,no,regular
65317058,highway,traffic_signals,regular
65317058,turn_restrictions,no,regular
65317133,railway,level_crossing,regular
65317163,turn_restrictions,no,regular
65317168,highway,traffic_signals,regular
65317181,highway,traffic_signals,regular
65317181,traffic_signals,signal,regular
65317196,highway,stop,regular
65317196,source,USGS Large Scale Imagery,regular
65317196,stop,all,regular
65317347,highway,stop,regular
65317374,crossing,uncontrolled,regular
65317374,highway,crossing,regular
65317376,highway,traffic_signals,regular
65317378,highway,stop,regular
65317380,highway,traffic_signals,regular
65317383,highway,stop,regular
65317386,highway,traffic_signals,regular
65317391,highway,traffic_signals,regular
65317399,highway,traffic_signals,regular
65317406,highway,traffic_signals,regular
65317526,highway,traffic_signals,regular
65317530,highway,traffic_signals,regular
65317532,highway,traffic_signals,regular
65317538,highway,traffic_signals,regular
65317538,traffic_signals,signal,regular
65317542,highway,traffic_signals,regular
65317544,highway,traffic_signals,regular
65317551,highway,traffic_signals,regular
65317565,highway,traffic_signals,regular
65317568,highway,traffic_signals,regular
